"provider_id","hospital_name","address","city","state","zip_code","county_name","phone_number","condition","measure_id","measure_name","score","sample","footnote","measure_start_date","measure_end_date"
10001.0,"SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL",36301.0,"HOUSTON",3.347938701E9,"Heart Attack or Chest Pain","AMI_7a","Fibrinolytic Therapy Received Within 30 Minutes Of Hospital Arrival","Not Available","Not Available","7 - No cases met the criteria for this measure.","2015-01-01 00:00:00.000","12/31/2015"
10001.0,"SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL",36301.0,"HOUSTON",3.347938701E9,"Heart Attack or Chest Pain","AMI_8a","Primary PCI Received Within 90 Minutes of Hospital Arrival","92","24","3 - Results are based on a shorter time period than required.","2015-01-01 00:00:00.000","09/30/2015"
10001.0,"SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL",36301.0,"HOUSTON",3.347938701E9,"Children's Asthma","CAC_3","Home Management Plan of Care Document","Not Available","Not Available","5 - Results are not available for this reporting period.","2015-01-01 00:00:00.000","12/31/2015"
10001.0,"SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL",36301.0,"HOUSTON",3.347938701E9,"Emergency Department","ED_1b","ED1","269","535","2 - Data submitted were based on a sample of cases/patients.","2015-01-01 00:00:00.000","12/31/2015"
10001.0,"SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL",36301.0,"HOUSTON",3.347938701E9,"Emergency Department","ED_2b","ED2","68","535","2 - Data submitted were based on a sample of cases/patients.","2015-01-01 00:00:00.000","12/31/2015"
10001.0,"SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL",36301.0,"HOUSTON",3.347938701E9,"Emergency Department","EDV","Emergency department volume","High (40,000 - 59,999 patients annually)","","","2014-01-01 00:00:00.000","12/31/2014"
10001.0,"SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL",36301.0,"HOUSTON",3.347938701E9,"Heart Failure","HF_2","Evaluation of LVS Function","100","337","3 - Results are based on a shorter time period than required.","2015-01-01 00:00:00.000","09/30/2015"
10001.0,"SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL",36301.0,"HOUSTON",3.347938701E9,"Preventive Care","IMM_2","Immunization for influenza","97","537","2 - Data submitted were based on a sample of cases/patients.","2014-10-01 00:00:00.000","03/31/2015"
10001.0,"SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL",36301.0,"HOUSTON",3.347938701E9,"Preventive Care","IMM_3_OP_27_FAC_ADHPCT","Healthcare workers given influenza vaccination","81","3791","","2015-10-01 00:00:00.000","03/31/2016"
10001.0,"SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL",36301.0,"HOUSTON",3.347938701E9,"Heart Attack or Chest Pain","OP_1","Median Time to Fibrinolysis","Not Available","Not Available","3 - Results are based on a shorter time period than required., 7 - No cases met the criteria for this measure.","2015-01-01 00:00:00.000","12/31/2015"
10001.0,"SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL",36301.0,"HOUSTON",3.347938701E9,"Emergency Department","OP_18b","OP 18","196","371","","2015-01-01 00:00:00.000","12/31/2015"
10001.0,"SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL",36301.0,"HOUSTON",3.347938701E9,"Heart Attack or Chest Pain","OP_2","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","Not Available","Not Available","3 - Results are based on a shorter time period than required., 7 - No cases met the criteria for this measure.","2015-01-01 00:00:00.000","12/31/2015"
10001.0,"SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL",36301.0,"HOUSTON",3.347938701E9,"Emergency Department","OP_20","Door to diagnostic eval","65","377","","2015-01-01 00:00:00.000","12/31/2015"
